"",GPI 2001,,,,GPI 2011,,,,DAGI 2011,,
1,Gujarat,0.66,1,Gujarat,,(0),0.65,1,Chhattisgarh,(+7),0.64
2,Tamil Nadu,0.60,2,Tamil Nadu,,(0),0.61,2,Madhya Pradesh,(+11),0.63
3,Punjab,0.60,3,Andhra Pradesh,,(+3),0.59,3,Karnataka,(+3),0.62
4,Kerala,0.57,4,Kerala,,(0),0.59,4,Tamil Nadu,(-2),0.61
5,Haryana,0.55,5,Punjab,,(-2),0.58,5,Andhra Pradesh,(-2),0.61
6,Andhra Pradesh,0.53,6,Karnataka,,(+1),0.57,6,Gujarat,(-5),0.60
7,Karnataka,0.51,7,Uttarakhand,,(+7),0.56,7,Punjab,(-2),0.58
8,Maharashtra,0.50,8,Chhattisgarh,,(+2),0.54,8,Rajasthan,(+4),0.58
9,Himachal,0.50,9,Haryana,,(-4),0.53,9,Kerala,(-5),0.57
"",Pradesh,,,,,,,,,,
10,Chhattisgarh,0.48,10,Maharashtra,,(-2),0.50,10,Bihar,(+8),0.55
11,West Bengal,0.44,11,Himachal Pradesh,,(-2),0.50,11,Uttarakhand,(-4),0.50
12,Assam,0.43,12,Rajasthan,,(+4),0.50,12,Haryana,(-3),0.50
13,Madhya Pradesh,0.38,13,Madhya Pradesh,,(0),0.49,13,Maharashtra,(-3),0.46
14,Uttarakhand,0.36,14,Assam,,(-2),0.35,14,Himachal Pradesh,(-3),0.46
15,Odisha,0.35,15,West Bengal,,(-4),0.34,15,Uttar Pradesh,(+4),0.45
16,Rajasthan,0.34,16,Odisha,,(-1),0.31,16,West Bengal,(-1),0.43
17,Jharkhand,0.27,17,Jharkhand,,(0),0.3,17,Odisha,(-1),0.42
18,Uttar Pradesh,0.19,18,Bihar,,(+1),0.29,18,Assam,(-4),0.41
19,Bihar,0.16,19,Uttar Pradesh,,(-1),0.29,19,Jharkhand,(-2),0.41
